id,headline,body_text,source,url,date,language,label,label_confidence,evidence_url,source_type
d0a87d6a-0939-4117-9366-db9282866ff8,Гуля Алмамбетова: таштанды сорттоочу заводун куруу иштери пандемиядан улам токтоду [split],"Анын шартына ылайык, эки жылдан соң, тагыраагы 2019-жылдын март айында жаңы полигон менен таштанды сорттоочу завод ишке кириши керек эле. Бирок анын ордуна текшерүүлөр жүргузүлүп, Бишкек шаардык прокуратура 2019-жылдын январь айындаКыргыз Республикасынын Кылмыш-жаза кодексинин 304 (Кызмат абалынан кыянаттык менен пайдалануу) жана 306 (Келишим түзүү, Кыргыз Республикасынын кызыкчылыгына каршы мамлекеттик сатып алууларды жүзөгө ашыруу) беренелерибоюнчаиш козгогон. Бишкек мэриясынын, “Тазалык” муниципалдык ишканасынын жана “Бишкек санитардык полигону” муниципалдык ишканасынынын кызматкерлери келишимди бузуп, долбоорду үзгүлтүккө учуратуу коркунучуна алып келген. Ал эми 2019-жылдын май айында гана, каражат алгандан кийин 6 жыл өткөн соң, жаңы санитардык полигон куруу иштеринин активдүү фазасыбашталган. Ал ортодо насыяны өз учурунда иштетпеген үчүн калаа жетекчилигине дээрлик 170 миң евро айып пулсалынган (2015-жылдан тарта ай сайын 4 миң евро). Жыйынтык: жалган",factcheck.kg,https://factcheck.kg/ky/gulya-almambetova-zavershaetsya-proekt-na-22-mln-evro-stroitelstvo-sortirovochnogo-zavoda-ostanovleno-iz-za-pandemii/,,kyrgyz,1,1.0,https://factcheck.kg/ky/gulya-almambetova-zavershaetsya-proekt-na-22-mln-evro-stroitelstvo-sortirovochnogo-zavoda-ostanovleno-iz-za-pandemii/,fact_check
3a896cfd-0ae5-43f2-b0ba-ac2361e46fee,Кыргызстандык зыяратчылардын алгачкы тобу ажылыкка 11-майда жөнөйт,"Ажылык амалдарын аткаруу үчүн кыргызстандык зыяратчылардын алгачкы тобу Сауд Арабияга 11-майда жөнөп кетишет. Кыргызстан Мусулмандар дин башкармалыгыМеккеге жана ыйык жерлерге кирүүгө мүмкүн болгонNusuk картасын(бейжик) алууну эскертет. Картаны ажылыкты уюштуруу штабынан алса болот. Муфтият эгер картаны жоготуп алгандар болсо, анын санарип версиясын колдонсо болорун жана аны кайра чыгаруу үчүн ажы башчыларга кайрылууну эскертүүдө. Кыргызстан Мусулмандар дин башкармалыгынан маалымдашкандай, быйыл ажылык сапарга 6060 адам барат. Жыл сайын Сауд Арабиясынын Ажылык жана умра министрлиги падышачылыктын мыйзамдарындагы өзгөрүүлөр же башка жаңы эрежелер тууралуу алдын ала эскертип, көрсөтмөлөрдү жиберет. Быйыл Жакынкы Чыгыштагы кырдаалга карабай зыяратка баруучулар үчүн азырынча өзгөчө талап же өзгөргөн жоболор болбогону маалымдалды. Быйылкы ажылыктык баасы 4 650 доллар деп эсептелген. Курман айт, ислам эрежелерине ылайык, Орозо айттан 70 күндөн кийин, ажылык зыяраттын соңунда белгиленет. Быйыл Курман айт 27-майда болот. (КЕ)",azattyk.org,https://www.azattyk.org/a/33751166.html,2026-05-06T18:21:09+06:00,kyrgyz,0,high,,news_site
d173c719-a383-4c8d-a98f-29525aa86752,Жаңылыктар. Чыгарылыш 13:00,"Ардактуу угармандар жаңылыктар топтому менен тааныштырып, микрофондо Элдияр Асылбеков. Саламатсыздарбы? Алгач биз токтоло турган кабарлардан кыскача... Ички иштер министрлиги үй-бүлөлүк зомбулукту алдын алуу боюнча эскертүүлөрдү бердиЗахарова Россия Украина боюнча жыйынтык бере турган сүйлөшүүлөргө даяр экенин билдирди  Ошко Өчпөс оттун бир бөлүгү жеткирилди. Алдыда кененирээк...Ошко Өчпөс оттун бир бөлүгү жеткирилди. Аны белгилүү россиялык дарыгер жана теле алып баруучу Андрей Продеус алып келди. 6–7-май күндөрү Кыргызстанда “Эскерүүоту” аттуу эл аралык акция өтөт. Россиядагыэң ири коомдук кыймыл болгон “Народный фронт” уюмунун активисттери Россотрудничествонун колдоосу менен республикага Белгисиз жоокердин мүрзөсүндөгү Өчпөс оттон жагылган чырактарды алып келишет.Акциянын максаты — Улуу Ата Мекендик согуш жылдарындагы тарыхый эс тутумду сактоо.  ""Эскерүү оту"" Москвадагы белгисиз жоокердин мүрзөсүндөгү “Өчпөс оттон” тутандырылган. Мындан ары ал өлкөнүн башка шаарларын да кыдырат. Ички иштер министрлиги үй-бүлөлүк зомбулуктун алдын алуу, чыр-чатактарды болтурбоо жана жарандардын укуктарын коргоо багытында түшүндүрүү иштерин жүргүзүп, коомчулукту аяр мамилеге чакырды.Ведомствонун маалыматына ылайык, үй-бүлөлүк зомбулуктун алдын алуу – бул чыр-чатактарды башынан эле болтурбоого багытталган комплекстүү чаралардын жыйындысы. Коомдо зомбулуктун бардык түрлөрүнө — физикалык, психологиялык жана экономикалык кысымдарды болтурбоо зарыл экени белгиленди.ИИМ ар кандай пикир келишпестиктер өз ара сый-урмат, түшүнүшүү жана ачык диалог аркылуу гана чечилиши керектигин баса белгилейт. Ошондой эле жарандар үй-бүлөлүк зомбулук үчүн каралган мыйзамдык жоопкерчиликтерди жакшы билүүсү шарт экени айтылды.“Зомбулукка кабылган же күбө болгон жарандар укук коргоо органдарына, кризистик борборлорго жана социалдык кызматтарга кайрыла алышат. Маселени жашырбай, өз убагында жардам суроо — кырдаалдын курчуп кетишин алдын алат жана коопсуздукту камсыздайт”, — деп айтылат маалыматта. Захарова Россия Украина боюнча жыйынтык бере турган сүйлөшүүлөргө даяр экенин билдирди  Россия Украина боюнча натыйжалуу сүйлөшүүлөргө даяр жана алардан баш тартпайт. Бул тууралуу ТИМдин расмий өкүлү Мария Захарова РИА Новостидеги маегинде билдирди. “Албетте, Россиянын жетекчилиги дайыма баса белгилеп келгендей, биз сүйлөшүү процессине, реалдуу эффект жана чыныгы жыйынтык бере турган байланыштарга ачыкпыз”, — деди Захарова. Агенттиктин маектеши ошондой эле азыр Украина боюнча сүйлөшүүлөргө америкалык тараптан жооптуу адамдардын көңүлү Жакынкы Чыгыштагы кырдаалга толук бурулуп кеткенинкошумчалады. “Бирок дагы бир жолу айтам, биз сүйлөшүү процесси, байланыштар жана биз жарыялаган жыйынтыкка багытталган жолугушуулар концепциясынан баш тарткан жокпуз”, — деди ТИМ өкүлү. Россия Украина жаңжалын тынчтык жолу менен жөнгө салууга даяр экенин бир нече жолу билдирген. РФ АКШ сунуштаган тынчтык планын талкуулоого да катышууда, бирок Киев режими сүйлөшүүгө канчалык даяр экенинен күмөн саноодо. Президент Владимир Путин Москва узак мөөнөттүү жөнгө салууну гана колдой турганын баса белгилеген. Мамлекет башчысынын айтымында, ага жаңжалдын түпкү себептери жоюлгандан кийин гана жетишүүгө болот. Алардын катарына НАТОну кеңейтүүдөн улам пайда болгон улуттук коопсуздукка коркунучтар жана Украинадагы орус тилдүү калктын кысымга алынышы кирет.",sputnik.kg,https://sputnik.kg/20260506/1101146024.html,13:00 06.05.2026(Жаңыртылды:13:16 06.05.2026),kyrgyz,0,high,,news_site
945ebad8-b5ec-4153-aa39-7742ef0b8fd4,Акын Аскат Жетигенге ырайым берилеби? Президенттин жообу,"Президент Садыр Жапаров «Кабар» агенттигине вебкам студиялардын негиздөөчүсү аталган Даниел Ажиевдин айланасындагы кептерге жооп берип жатып, абактагы акын Аскат Жетигенди бошотуу маселеси боюнча да билдирди. Өлкө башчысы акын ырайым сураса карап көрүшү мүмкүн экенин белгиледи. «Мен кимди чыгарышты, кимди чыгарбашты тандабайм. Ким ырайым сурап арыз менен кайрылса, арызынын негизинде чечим кабыл алам. Арыз менен кайрылбаган соттолуучуну кантип чыгарам. Арыз менен кайрылса, аны да караганга даярбыз», — деди Жапаров. Эске сала кетсек, Аскат Жетиген — массалык башаламандыктарды козутуу жана бийликти басып алуу боюнча айыпталып, үч жылга эркинен ажыратылган белгилүү акын жана жарандык активист. Кылмыш иши 2024-жылдын мартында башталган. Айыптоолор Жетигендин социалдык медиадагы видео билдирүүлөрүнөн келип чыккан, анда ал бийликтин аракеттерин сындаган.",24.kg,https://24.kg/kyrgyzcha/364802_akyin_askat_jetigenge_yirayyim_berilebi_prezidenttin_joobu/,,kyrgyz,0,high,,news_site
e50f3dff-cba9-4aa5-ae94-a1a96a400a3a,Саламаттыкты сактоо объектилерин курууга 12 миллиард сомдон ашык каражат бөлүндү,"Кыргызстанда саламаттыкты сактоо объектилерин куруу, капиталдык оңдоо жана модернизациялоо боюнча масштабдуу иштер уланууда. Бул тууралуу Саламаттыкты сактоо министрлиги 24.kg басылмасына билдирди. Маалыматка ылайык, учурда республикалык бюджеттин жана башка каржылоо булактарынын эсебинен 32 ири объект курулууда. Бул максаттарга 2026-жылы 12 миллиард сомдон ашык каражат каралган. Бир катар долбоорлор буга чейин эле аяктаган же аяктоо алдында турат: Ошондой эле, КР Президенти Садыр Жапаровдун Ош облусуна болгон жумушчу сапарынын алкагында бир катар жаңы объектилерди (Араван, Кара-Кулжа, Чоң-Алай, Гүлчө, Ноокат) куруу боюнча тапшырмалар берилген. Алар учурда пландаштыруу жана иштеп чыгуу стадиясында турат (айрымдарын ишке ашыруу 2027-жылга пландалган). Мындан тышкары, Нарын облустук ооруканасында жана Ош онкология борборунда жаңы объектилерди куруу мүмкүнчүлүгү боюнча эл аралык өнөктөштөр, анын ичинде Ислам өнүктүрүү банкы менен сүйлөшүүлөр жүрүп жатат. Министрликтин маалыматы боюнча, иштер бир нече багытта — учурдагы объектилерди аяктоодон баштап, жаңы долбоорлорду ишке киргизүүгө чейин комплекстүү түрдө жүргүзүлүүдө.",24.kg,https://24.kg/kyrgyzcha/372923_salamattyiktyi_saktoo_obyektilerin_kuruuga_12milliard_somdon_ashyik_karajat_bolundu/,,kyrgyz,0,high,,news_site
f01e5b9f-5d77-4926-9a6a-9f18a14526b8,Сингапур менен Белорусияда коронавирустан каза болгондор жок деген маалымат — фейк,"Социалдык тармактарда Сингапур коронавирусту жыйырма күндө жеңди деген маалымат тарап жатат. Мындан сырткары, Беларусияда 94 гана жаран вирус жуктуруп, каза болгондор жок деген билдирүүлөр да бар. Мындай маалымат фейк экендиги тууралуу Талант Абдылдаев аттуу фейсбук колдонуучусу өзбаракчасына жазып чыккан. Биз бул кабарды тастыктоо иретинде текшерип көрдүк. Алгач расмий булактарда айтылган маалыматтарды карап чыгабыз.",factcheck.kg,https://factcheck.kg/ky/kyrgyz-singapur-menen-belorusiyada-koronavirustan-kaza-bolgondor-zhok-degen-maalymat-fejk/,,kyrgyz,1,0.74,https://factcheck.kg/ky/kyrgyz-singapur-menen-belorusiyada-koronavirustan-kaza-bolgondor-zhok-degen-maalymat-fejk/,fact_check
2bb6803d-7b9c-4a4e-ab04-1ca53c3d61dc,Ош шаарында 735 295 сомдук алимент өндүрүлдү,"Башкы прокуратуранын алдындагы Сот аткаруучулар кызматынын Ош шаардык бөлүмү жергиликтүү жаранга 735 295 сом алимент толугу менен өндүрүлүп берилди. Мекеменин басма сөз кызматынын маалыматына караганда, карызкор эки баланы багуу үчүн айлык кирешесинин 1/3 бөлүгүн алимент катары төлөп берүүгө милдеттендирилген. Бирок милдетин аткарбай, Кыргызстандан чыгып кеткендигине байланыштуу ага издөө жарыяланып, алимент карызы бар экени тууралуу бир нече жолу эскертүүлөр берилген. ""Жүргүзүлгөн мажбурлап аткаруу чараларынын натыйжасында 13-апрелде карызкор алимент боюнча карызды толугу менен төлөп берди"", - деп билдирди Сот аткаруучулар кызматы. 8-апрель күнү Өзгөндө балдарынын алиментин төлөбөй жүргөн жаран сот чечими менен бир жылга эркиндигинен ажыратылган. Сот аткаруучулар кызматы анын алимент карызы 279 180 сомду түзгөнүн, бир нече жолку эскертүүлөргө карабай, ал жарандык жоопкерчилигин аткарбаганы үчүн иши сотко ашырылганын билдирген. Сот чечими менен жашы жете элек балдарына алимент төлөөгө милдеттендирилип, бирок аны аткарбай жүргөн жарандар Кылмыш-жаза кодексинин 178-беренеси (""Ата-эненин балдарды багуудан качуусу"") менен жоопкерчиликке тартылат. Сот аткаруучуларкызматынын маалыматына караганда, Кыргызстанда алимент төлөбөгөн 1204 кишиге издөө жарыяланган. Ал эми алиментке байланыштуу жалпы 60 миң 720 иш өндүрүшкө алынган. Алимент төлөбөгөн жарандарды сот аркылуу эркинен ажыратуу тажрыйбасы Кыргызстанда 2026-жылдан тартып ишке аша баштады. Буга чейин Баткен облусунун, Манас шаарынын, Сузак районунун тургундары кесилип, сот залынан камакка алынышкан. Ошондой эле 400-500 миң сомдон 1 миллион сомго чейинки алимент карызы бар жарандардан каражат өндүрүлгөнү маалымдалган. Өлкөдө ажырашкандардын 2% гана балдарына алимент төлөй турганы расмий айтылган. (ZКo)",azattyk.org,https://www.azattyk.org/a/33732672.html,2026-04-15T15:13:38+06:00,kyrgyz,0,high,,news_site
ba49834b-3e49-452f-ba4a-d93bbda0d445,Аламүдүн райондук сотунун судьясы коррупцияга шектелип кармалды,"Улуттук коопсуздук боюнча мамлекеттик комитет (УКМК) сот системасындагы коррупциялык көрүнүштөрдү жоюу максатында жүргүзүп жаткан иш-чаралардын алкагында Чүй облусунун Аламүдүн райондук сотунда коррупциялык схема аныкталды. Бул тууралуу УКМКнын басма сөз кызматы кабарлады.Маалыматка ылайык, Аламүдүн райондук сотунун судьясы Ш.Б.Ж эркинен ажыратуу менен байланышпаган сот чечимин чыгарууга көмөк көрсөтүүнү убада кылып Т.М.Т. аттуу жарандан 26 миң АКШ долларын алган. Бирок маселени анын пайдасына чечип бере алган эмес.""Ыкчам-издөө иш-чараларынын жүрүшүндө мурда алынган акча каражаттарынын бир бөлүгүн — 85 миң сомду кайтарып берип жаткан учурда Аламүдүн райондук сотунун судьясы Ш.Б.Ж. кылмыш үстүндө кармалды"", - деп билдирди атайын кызмат.Шектүүнү кылмыш жоопкерчилигине тартууга Соттор кеңеши 3-апрелде макулдук берди.6-апрель күнү шектүү Ш.Б.Ж. сот чечими менен УКМКнын тергөө абагына киргизилди.УКМКушул эле кылмыш ишинин алкагындаЧүй облустук сотунун А.Ж.Б. аттуу улук катчысы да коррупцияга шектелип кармалганын 25-мартта маалымдаган. Анда шектүү Т.М.Т. аттуу жарандан 26 миң доллар алганы кабарланган. Шектүүлөр же алардын жактоочулары азырынча маалымат бере элек. Президент Садыр Жапаров бийликке келгенден бери сот системасын реформалай турганын айтып, атайын кеңеш түзгөн. Бирок Кыргызстанда сот тармагына нааразылык дагы эле бар. Сот системасына сырттан кийлигишүү жок экенин Жапаров 11-мартта парламентте депутаттардын суроолоруна жооп берип жатып айткан. Ал судьялардын көбү менен түз байланышта экенин, соттун ишине кийлигишкен учурларды тыйып коёрун билдирген. Буга чейинки үч ыңкылаптын негизги себептеринин бири катары сот адилетсиздиги аталган. (ZКo)",azattyk.org,https://www.azattyk.org/a/33726635.html,2026-04-07T16:23:00+06:00,kyrgyz,0,high,,news_site
c16d2fb1-4569-45e3-bed6-2245a9160a27,Бүгүн Байланыш жана радио күнү,"Бүгүн, 7-май Кыргызстандын байланыш тармагынын жана радио кызматкерлерин адистик күнү. Майрамдын тарыхына токтоло турган болсок, мындан 125 жыл мурун орус окумуштуусу Александр Попов байланыш тармагында ачылыш жасап, 7-майда радио байланышты ойлоп тапканын жарыя кылган. Совет доорунда 1945-жылдан бери 7-май— радио күнү расмий белгиленип келген. Ал эми Кыргызстанда 1995-жылы 17-апрелде Өкмөттүн токтому менен 7-май — Байланыш жана радио күнү —деп белгиленген. Кошумчалай кетсек, учурда радио интернеттен кийинки эле эң ыкчам маалымат булагы болуп саналат. Бүгүнкү күндө Кыргызстанда 50гө жакын радиостанциялар иштеп келе жаткандыгы айтылат.",24.kg,https://24.kg/kyrgyzcha/373041_bugun_baylanyish_jana_radio_kunu/,,kyrgyz,0,high,,news_site
d3de5c68-7c24-42bf-835e-2b632e0bbe15,АКШ Жакынкы Чыгышка кошумча миңдеген аскер жөнөткөнү кабарланууда,"Пентагон Жакынкы Чыгышка дагы миңдеген аскерлерди жөнөтүп жатат. Бул кадам Дональд Трамп администрациясы Иранга басым көрсөтүп, келишимге жетишүүгө аракет кылып жаткан учурда жасалууда. Бул тууралууThe Washington Post басылмасы жазды. Маалыматка караганда, Пентагондун бул кадамы атышууну токтотуу келишими бузулса мүмкүн болгон чыңалууга даярдануу максатын да көздөшү мүмкүн. USS George H.W. Bush учак ташуучу кемесиндеги алты миңдей аскер жана Boxer амфибиялык тобундагы төрт миңден ашык деңиз жөө аскери жөнөтүлөрү кабарланды. Алар аймакта буга чейин жайгашкан болжол менен 50 миң америкалык аскерге кошулат. Бул кошумча күчтөр учак ташуучу үч кеменин аймакта иштөөсүнө шарт түзүп, Вашингтондун аскердик мүмкүнчүлүктөрүн кеңейтет. АКШ Иранга экономикалык басым көрсөтүү жана Ормуз кысыгын кайра ачуу максатында деңиз блокадасын жүргүзүп жатат. Расмийлер билдиргендей, аскер жетекчилери соккуларды күчөтүүдөн тартып жердеги операцияларга чейин ар кандай сценарийлерди карап жатышат. The Washington Post белгилегендей, талдоочулар бул аракет Иранга басымды күчөтөрүн, бирок ошол эле учурда АКШ аскерлеринин жоготуулары жана дипломатия ийгиликке жетпесе, аймактагы кеңири жаңжал коркунучун да жогорулатарын эскертүүдө.",azattyk.org,https://www.azattyk.org/a/33732819.html,2026-04-15T17:57:46+06:00,kyrgyz,0,high,,news_site
